                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2797,                 1.4953,                 1.6087,                0.86707,                0.78989,                0.83305,                0.60381,                 1.1312,                 1.0807,                 1.7006,             0.00057366,             0.00057366,             0.00057366
                     56,                 1.2595,                 1.4087,                  1.572,                0.80579,                0.75833,                0.80043,                0.56877,                 1.1497,                  1.108,                 1.7204,             0.00055303,             0.00055303,             0.00055303
                     57,                 1.2584,                  1.401,                  1.587,                0.87779,                0.75771,                0.84557,                0.58419,                 1.1436,                 1.0798,                 1.6998,              0.0005324,              0.0005324,              0.0005324
                     58,                 1.2594,                 1.4137,                 1.5862,                0.86746,                0.75833,                0.84092,                 0.5659,                 1.2201,                  1.064,                 1.7532,             0.00051177,             0.00051177,             0.00051177
                     59,                 1.2739,                 1.4005,                 1.6092,                0.81954,                0.78333,                0.84477,                0.58249,                 1.1549,                 1.0528,                 1.7228,             0.00049114,             0.00049114,             0.00049114
                     60,                 1.2169,                 1.4289,                 1.5479,                0.85842,                0.80924,                0.86346,                0.60586,                 1.1158,                 1.0554,                 1.6969,             0.00047051,             0.00047051,             0.00047051
                     61,                 1.1996,                 1.4194,                  1.558,                0.84523,                  0.825,                0.86235,                0.60829,                 1.1146,                 1.0579,                 1.6847,             0.00044988,             0.00044988,             0.00044988
                     62,                 1.2663,                 1.4076,                 1.5728,                0.83415,                0.77704,                0.87261,                0.58602,                 1.1998,                 1.0475,                 1.7499,             0.00042925,             0.00042925,             0.00042925
                     63,                 1.2553,                 1.4616,                  1.558,                0.86343,                  0.825,                0.87555,                0.60356,                  1.155,                 1.0279,                 1.7111,             0.00040862,             0.00040862,             0.00040862
                     64,                 1.2491,                 1.3872,                  1.563,                0.77047,                0.75139,                0.80401,                0.60683,                 1.0709,                 1.0379,                 1.6392,             0.00038799,             0.00038799,             0.00038799
                     65,                 1.2398,                 1.3769,                 1.5552,                0.87057,                0.77086,                0.84506,                0.61233,                  1.016,                0.98416,                 1.6007,             0.00036737,             0.00036737,             0.00036737
                     66,                 1.2104,                 1.3808,                 1.5495,                0.85579,                0.73465,                0.82208,                0.60209,                 1.0449,                0.96953,                 1.6084,             0.00034674,             0.00034674,             0.00034674
                     67,                 1.2273,                 1.4463,                 1.5391,                0.77532,                0.77593,                0.83458,                0.61152,                  1.067,                0.97132,                 1.6271,             0.00032611,             0.00032611,             0.00032611
                     68,                 1.1939,                 1.3603,                 1.5316,                0.85102,                0.83805,                0.87679,                0.61722,                 1.0288,                0.96361,                 1.5977,             0.00030548,             0.00030548,             0.00030548
                     69,                 1.2153,                 1.3654,                 1.5506,                0.84128,                0.83013,                0.85244,                0.59369,                 1.0289,                0.95878,                  1.596,             0.00028485,             0.00028485,             0.00028485
                     70,                 1.1892,                 1.3105,                 1.5187,                0.82571,                0.79167,                0.83235,                0.58963,                 1.0489,                0.96366,                 1.5996,             0.00026422,             0.00026422,             0.00026422
                     71,                 0.9879,                 1.1866,                   1.52,                0.83291,                0.68333,                 0.7893,                0.57378,                 1.0578,                 1.0394,                 1.5887,             0.00024359,             0.00024359,             0.00024359
                     72,                 0.9996,                 1.0772,                 1.5253,                  0.759,                0.74167,                0.78712,                0.57025,                 1.0892,                 1.0253,                 1.6077,             0.00022296,             0.00022296,             0.00022296
                     73,                0.99162,                 0.9995,                 1.5383,                0.88877,                0.79918,                0.85472,                0.61173,                 1.0489,                0.95213,                 1.5896,             0.00020233,             0.00020233,             0.00020233
                     74,                0.92915,                 1.0193,                 1.4644,                 0.8772,                0.76302,                0.85317,                0.61886,                 1.0266,                0.93613,                  1.571,              0.0001817,              0.0001817,              0.0001817
                     75,                0.97587,                0.99504,                  1.489,                0.78643,                0.79167,                 0.8469,                0.58803,                 1.0409,                0.95505,                 1.5841,             0.00016107,             0.00016107,             0.00016107
                     76,                0.93379,                0.95544,                 1.4777,                0.77335,                0.78333,                0.85482,                0.61324,                 1.0459,                0.95769,                 1.5821,             0.00014044,             0.00014044,             0.00014044
                     77,                0.91157,                0.86095,                 1.4372,                0.80596,                0.80833,                0.86159,                0.61642,                 1.0475,                0.97071,                 1.5799,             0.00011982,             0.00011982,             0.00011982
                     78,                0.93967,                0.89098,                 1.4657,                0.81387,                0.82462,                 0.8587,                0.61179,                 1.0323,                0.93199,                 1.5735,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     79,                0.92282,                0.94163,                 1.4777,                0.86028,                0.80297,                0.86471,                0.60074,                  1.027,                0.93391,                 1.5667,             7.8557e-05,             7.8557e-05,             7.8557e-05
                     80,                0.90813,                0.92145,                 1.4483,                0.84495,                0.80833,                0.86613,                0.61619,                 1.0411,                0.92337,                  1.575,             5.7928e-05,             5.7928e-05,             5.7928e-05
