                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.93735,                0.76113,                 1.3321,                0.98224,                0.93333,                0.98794,                0.74907,                0.92203,                0.61273,                 1.6113,               0.000416,               0.000416,               0.000416
                     83,                0.93109,                0.66807,                 1.3145,                0.87794,                0.95998,                0.97861,                0.75672,                0.88382,                0.66145,                 1.5563,              0.0003962,              0.0003962,              0.0003962
                     84,                0.99956,                0.72477,                 1.3716,                0.91558,                0.93333,                0.97567,                0.75918,                0.88674,                0.65807,                 1.5809,              0.0003764,              0.0003764,              0.0003764
                     85,                0.95373,                0.68857,                  1.389,                 0.9224,                0.93333,                 0.9648,                0.74265,                0.90675,                  0.665,                 1.6057,              0.0003566,              0.0003566,              0.0003566
                     86,                0.94833,                0.73753,                  1.326,                0.92714,                0.93333,                0.95761,                0.74226,                0.91378,                0.65313,                 1.5936,              0.0003368,              0.0003368,              0.0003368
                     87,                0.97449,                0.75658,                 1.3276,                0.92211,                0.93333,                0.98033,                0.75767,                0.91199,                0.66128,                 1.5387,               0.000317,               0.000317,               0.000317
                     88,                0.92185,                0.72656,                 1.3585,                0.92216,                0.93333,                0.98033,                0.73804,                0.92468,                0.65212,                 1.5317,              0.0002972,              0.0002972,              0.0002972
                     89,                0.92609,                0.70656,                 1.3078,                0.98273,                0.86667,                0.97533,                0.74327,                 0.9303,                0.66149,                  1.543,              0.0002774,              0.0002774,              0.0002774
                     90,                0.95065,                0.71794,                 1.3312,                      1,                 0.8602,                0.97124,                 0.7472,                0.93478,                0.65422,                 1.5521,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.7781,                0.56997,                 1.3101,                0.99492,                0.93333,                0.98794,                0.76354,                0.93185,                0.59441,                 1.5535,              0.0002378,              0.0002378,              0.0002378
                     92,                0.73421,                0.55905,                 1.2511,                0.99805,                0.93333,                0.98794,                  0.731,                0.90568,                0.58489,                   1.52,               0.000218,               0.000218,               0.000218
                     93,                0.73564,                0.56473,                 1.2762,                      1,                0.98864,                  0.995,                0.74749,                0.90178,                0.56845,                  1.504,              0.0001982,              0.0001982,              0.0001982
                     94,                0.73118,                0.51891,                 1.2792,                      1,                0.99343,                  0.995,                0.76558,                0.89259,                0.53733,                 1.4941,              0.0001784,              0.0001784,              0.0001784
                     95,                0.72747,                0.54423,                 1.2936,                      1,                0.99438,                  0.995,                0.78429,                0.89635,                0.54263,                  1.497,              0.0001586,              0.0001586,              0.0001586
                     96,                0.68415,                 0.5533,                  1.234,                      1,                0.99519,                  0.995,                0.77489,                0.90003,                0.52997,                 1.5142,              0.0001388,              0.0001388,              0.0001388
                     97,                0.69333,                0.46058,                 1.2511,                      1,                0.99377,                  0.995,                0.77786,                0.88487,                0.51745,                  1.525,               0.000119,               0.000119,               0.000119
                     98,                0.72215,                 0.4826,                 1.2833,                      1,                0.99257,                  0.995,                0.77876,                0.88417,                0.51942,                 1.5338,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.67354,                0.48355,                 1.2178,                0.99771,                0.93333,                0.99125,                0.78226,                0.86772,                0.54068,                 1.5134,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.68439,                0.45958,                 1.2246,                      1,                0.93307,                0.99125,                0.78325,                 0.8609,                0.55556,                 1.5066,               5.96e-05,               5.96e-05,               5.96e-05
